Key,Value
101,"You have contracted the Plague,[/center]
a very serious, often fatal disease.[/center]
Very quickly it will spread through[/center]
your system. Few who contracted it[/center]
live for more than a few days[/center]
unless they are cured quickly.[/center]
[/end]"
102,"You have contracted Yellow Fever.[/center]
Your endurance, willpower, and health[/center]
will decline every day until you find[/center]
a cure or die.[/center]
[/end]"
103,"You have contracted Stomach Rot.[/center]
It is a permanent condition, unless[/center]
you are cured, characterized by a[/center]
slight daily drop in health.[/center]
[/end]"
104,"You have contracted Consumption.[/center]
Your willpower, agility, and strength[/center]
will slowly leave you, until you are[/center]
cured or you die.[/center]
[/end]"
105,"You have contracted Brain Fever.[/center]
It is a slow death, as your willpower,[/center]
your health, even your personality trickle[/center]
away, day by day. You must either get a[/center]
cure or face oblivion.[/center]
[/end]"
106,"You have contracted Swamp Rot.[/center]
Every day your willpower, agility,[/center]
and strength will fall, until you[/center]
waste away or are cured.[/center]
[/end]"
107,"You have contracted Caliron's Curse.[/center]
Some people have recovered by themselves[/center]
in a week or two, but their strength,[/center]
speed, and agility remain stunted. It[/center]
is best to cure the disease quickly.[/center]
[/end]"
108,"You have contracted Cholera,[/center]
one of the deadliest diseases in[/center]
Tamriel and always fatal unless help[/center]
is given very, very quickly.[/center]
[/end]"
109,"You have contracted Leprosy[/center]
and will slowly waste away, a little[/center]
bit every day, unless you are cured.[/center]
[/end]"
110,"You have contracted Wound Rot,[/center]
which will very slowly erode your[/center]
strength, endurance, and health[/center]
until you cure yourself.[/center]
[/end]"
111,"You have contracted Red Death,[/center]
a very serious disease which can[/center]
quickly decimate a victim's endurance[/center]
and even destroy personality until[/center]
a cure is given or the victim[/center]
dies.[/center]
[/end]"
112,"You have contracted Blood Rot,[/center]
which will adversely affect your[/center]
health, personality, and willpower[/center]
over the next several days or weeks[/center]
unless you cure it. Some have not[/center]
found a cure and died of this[/center]
disease.[/center]
[/end]"
113,"You have contracted Typhoid Fever,[/center]
a deadly disease affecting a victim's[/center]
intelligence, endurance, and health.[/center]
The condition is permanent, barring[/center]
a cure or death.[/center]
[/end]"
114,"You have contracted Dementia,[/center]
a hideous disease which slowly robs[/center]
a victim of his or her intelligence,[/center]
willpower, and even personality,[/center]
until he or she is dead or a cure[/center]
has been applied.[/center]
[/end]"
115,"You have contracted Chrondiasis,[/center]
a magical disease, which will consume[/center]
your intelligence and innate magicka,[/center]
day by day. The disease must be cured,[/center]
or it will eventually kill you.[/center]
[/end]"
116,"You have contracted Wizard Fever,[/center]
a sometimes merely irritating, sometimes[/center]
devastating magical disease. Some have[/center]
suffered this and barely noticed it[/center]
before the fever broke on its own and[/center]
some have been left feebleminded. Your[/center]
innate magicka and intelligence will[/center]
trickle away, day by day, for as[/center]
long as three weeks.[/center]
[/end]"
117,"You have been poisoned.[/center]
[/end]"
200,"Why did the %ra put the letters 'T.G.I.F.' on his boots? To remind himself - Toes Go In First![/record]
Most %ra family trees don't fork![/record]
What do a %ra and a bottle of port have in common? They're both empty from the neck up![/record]
You know, you might be a %ra if you have grease under your toenails![/record]
How do you get a %ra's eyes to sparkle? Put a torch in his ear![/record]
You know, you might be a %ra if it's impossible to see food stains on your armor![/record]
What did the %ra girl say after someone blew in her ear? 'Thanks for the refill!'[/record]
What do you call a %ra with half a brain? Gifted![/record]
Why do %ra women wear undergarments? To keep their ankles warm![/record]
How do you make a %ra laugh on Morndas? Tell him a joke on Fredas![/record]
You know, it only takes one drink to get a %ra drunk. I can't remember if it's the thirteenth or the fourteenth.[/record]
What do you call a basement with more than one %ra? A WHINE cellar![/record]
Over at the %nt, spitting will cost you a copper piece. But you can throw up for free![/record]
What do a smart %ra and an orcoblin have in common? They're both extinct![/record]
You know, lots of people say that %ra kids procrastinate too much. Well, just you wait![/record]
What is a %ra doing when he holds his hands tight over his ears? Trying to hold a thought![/record]
How can you tell if a %ra is lying? His lips are moving![/record]
What do you say to a %ra woman to convince her to go to bed with you? Have another ale![/record]
Why is it %cn has the most %ra adventurers, and %cn2 has the most goblins? %cn2 had the first choice![/record]
What is the first thing a %ra woman does in the morning? Walk home![/record]
What did the %ra woman say after she was told she was pregnant? 'Is it mine?'![/record]
What a %ra lacks in intelligence, he makes up for in stupidity.[/record]
I won't eat anything that has intelligent life, but I will happily eat a politician or a %ra.[/end]"
201,"By Thorig's Beard[/record]
By Olfor's Hammer[/record]
By the White Wolf[/record]
By the Frozen Wastes[/record]
By the Hoarfather[/record]
Mother of the Ice[/record]
Frostfire[/record]
By the Cliffs of Solitude[/record]
By the Northern Sea[/record]
By the Beard of Thorig[/end]"
202,"By the Rat-god[/record]
Whore of Alizahad[/record]
Dust of Orcrest[/record]
By the Sands of Elsweyr[/record]
By the Blessed Water[/record]
By the Hand of Ibrahad[/record]
Desert Sun[/record]
By the Dry Heart[/record]
By the Water of Life[/record]
Devil of the Sands[/end]"
203,"By the Dragon's Teeth[/record]
Dragon's Teeth[/record]
Cursed Darvak[/record]
By My Father's Name[/record]
By Rourken[/record]
By the Great Hammer[/record]
By the Dwarf-King[/record]
Beard of the Dwarf-King[/record]
By the Guardian's Blood[/record]
By the First Wyrm[/record]
Spirit Sword[/record]
By the Blade[/record]
By Divad[/record]
By Katrica[/record]
By The Maiden[/record]
By Frandar[/record]
Stendarr Preserve Us[/record]
By The Sun[/end]"
204,"By Starfall's Waters[/record]
Bless My Lord[/record]
By the Crypt[/record]
Death Be Damned[/record]
By My Lady[/record]
By the Mists[/record]
By the Wolf[/record]
By the Dark Lord[/record]
Spirits of High Rock[/record]
By the ArchDruid[/record]
By Pelagius[/record]
Madness[/record]
By the Dragon[/record]
Damn the Dragon[/end]"
205,"Swamp Devil[/record]
Mire of Murkwood[/record]
By the Gods[/record]
By the Throne of Aphicles[/record]
By the Blades of Fate[/record]
By the Lonely One[/record]
Host of Stormhold[/record]
By the Swamp Spirit[/record]
By the Mother-goddess[/record]
Bogfire[/end]"
206,"By the Elden Grove[/record]
By the Timber Spirits[/record]
By the Lore of Wood[/record]
By Mistria's Curse[/record]
Spirits of the Wood[/record]
Faeries of the Grove[/record]
By Caliron's Heart[/record]
By the Root[/record]
Fire of Eldenroot[/record]
By the Fire[/end]"
207,"By the Highest One[/record]
By the White Crystal[/record]
By the Wood of Elborn[/record]
By the Blue Divide[/record]
Faerielight[/record]
By the Otherworld[/record]
First Spirit of Tamriel[/record]
Blade of Cassimoran[/record]
Crystals of Sumurset[/record]
By the First Spirit[/end]"
208,"By the Black Isle[/record]
By the Dark Ones[/record]
By the Fires of Dagoth-Ur[/record]
By the Mad Queen[/record]
By the Black Maw[/record]
Dark Goddess Protect Us[/record]
By the Night[/record]
Soul of the Black Knight[/record]
By the Soulless One[/record]
Fireblood[/end]"
250,"[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
The %sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj %sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %adj %sub by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%sub %pp2 by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%adj %sub %pp2 by %an[/record]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
[/left]
%pp1 %adj %sub %pp2 by %an[/end]"
255,From where dost thou hail?[/end]
256,"Someone calls out, ""Come in.""[/record]
You hear, ""Welcome!""[/record]
An irritated voice hollers, ""It's open.""[/record]
Someone says, ""Come on in.""[/record]
A jolly voice says, ""Welcome to my home.""[/record]
A voice calls out, ""You may enter.""[/end]"
260,"""Your presence honors my humble shop[/center]
%pcn. Although I need twice as[/center]
much to feed my starving family, l[/center]
will give it away for %a gold pieces.""[/center]
[/record]
""You are a most formidable bargainer,[/center]
%pct. The usual asking is far[/center]
more, but I can make a deal with you,[/center]
and you only. %a gold pieces and[/center]
it's yours.""[/center]
[/record]
""My dear %pcf, for no one, not my[/center]
closest family or best of friends would[/center]
I consider selling that for %a[/center]
gold pieces. For no one that is,[/center]
except you.""[/center]
[/record]
""This is far below a fair price -- I[/center]
know the market. On the other hand, in[/center]
certain, very rare cases, it is[/center]
less important to make a profit. I can[/center]
take a loss in your case. %a gold[/center]
pieces, good %pcf, and it's yours.""[/center]
[/end]"
261,"""%cpn prides itself on having the[/center]
lowest prices in %cn. Though you[/center]
have bargained with me until the sun is[/center]
low in the sky, I can sell for no less[/center]
than %a gold pieces.""[/center]
[/record]
""You have bargained me long and hard[/center]
%pcn. Let us be done. I would[/center]
normally charge more, but for you I[/center]
only ask %a gold. Truly it is but a[/center]
pittance.""[/center]
[/end]"
262,"""Enough bargaining. My price is[/center]
%a gold pieces. Take it or leave it.""[/record]
""That'll be %a gold pieces. You've[/center]
bartered down to that.""[/center]
[/record]
After a long session of haggling...[/center]
""%a gold pieces is my final offer.""[/center]
[/end]"
263,"""Enough of this endless dickering. You are[/center]
obviously in great need. Normally I would[/center]
pay far less, but for you I will[/center]
offer %a gold.""[/center]
[/record]
""Listen, I will offer you the absolute[/center]
maximum I can without losing my shirt.[/center]
Here is %a gold. Take it and tell all[/center]
your friends you cheated me.""[/center]
[/record]
""I'll give the price I only offer to my[/center]
closest friends and family. The market[/center]
value of that is much less, but[/center]
I think I can give you %a gold.""[/record]
""Not bad, not bad. I'd give most people[/center]
less, but for you, %a gold. That's my[/center]
absolute best offer.[/center]
[/end]"
264,"""Maybe you can get more than %a gold[/center]
for that somewhere, but it's a fair price.[/center]
And it's my only offer.""[/center]
[/record]
""I can give you %a gold pieces. If[/center]
someone else is offering more, I'd advise[/center]
you go to him. %a gold is all it's worth[/center]
to me.""[/center]
[/record]
""There's not a big market for those, but[/center]
I can sell it. I'll give you %a gold[/center]
pieces, a perfectly fair price.""[/center]
[/record]
""Yeah, you're right. Good quality all[/center]
around. I'll offer a little more than[/center]
the standard price -- %a gold pieces""[/center]
[/end]"
265,"""I have no time for such as you. I will[/center]
only pay %a for such trash.""[/record]
""%a gold, kid. Take it or leave it.""[/center]
[/record]
""No more clumsy bartering, kid. I'll[/center]
give you %a gold, and that's the highest[/center]
I'll go. Period.""[/center]
[/record]
""Listen, %ra. You and me both know that[/center]
ain't worth a piece more than %a gold,[/center]
right? So let's not pretend. You don't[/center]
haveta agree to it, but that's what I'll[/center]
pay for it.""[/center]
[/end]"
266,"Incense and soft music soothe your nerves[/center]
as you cross the threshold. Each item in[/center]
this shop is carefully mounted and[/center]
displayed. Not the slightest defect can be[/center]
detected in any item within.[/center]
[/end]"
267,"The shop is better appointed than many.[/center]
Its wares lie neatly on the shelves.[/center]
Although not fit for a king, all are[/center]
skillfully crafted.[/center]
[/end]"
268,"The shop is laid out in a practical and[/center]
straightforward manner. All the items[/center]
seem to be of adequate construction.[/center]
[/end]"
269,"Sturdy shelves, cobbled together out of[/center]
scrap lumber hold the shops wares. The[/center]
items are sound and functional, but[/center]
little more than that.[/center]
[/end]"
270,"Rusty relics lie wherever they were last[/center]
tossed. All the wares show the cracks and[/center]
chips of shoddy workmanship. A mouse[/center]
scampers over your feet before burrowing[/center]
into a nearby sack.[/center]
[/end]"
282,"Congratulations! You have purchased a lovely[/center]
home here in %cn.[/center]
[/end]"
283,"Congratulations! You have purchased a[/center]
sturdy vessel capable of ferrying you[/center]
anywhere within the Iliac Bay.[/end]"
284,"You already own a ship. You must sell it[/center]
before you can buy another.[/center]
[/end]"
285,"This is not a port town, %pcn.[/center]
We have no ships to sell you here.[/center]
[/end]"
286,"You already own a house. You must sell it[/center]
before we can sell you another.[/center]
[/end]"
287,"It is a seller's market for houses. There[/center]
are none available at this time.[/center]
[/end]"
288,"%pcn, you have defaulted[/center]
on a prior loan with this bank. We will[/center]
not lend you money under any circumstances.[/center]
Perhaps you could go to a bank in some[/center]
place other than %reg and[/center]
attempt to swindle them.[/center]
[/end]"
289,"You already have a loan with this bank.[/center]
It must be paid off in full before we will[/center]
grant you another loan.[/center]
[/end]"
290,"My sincere apologies, but you do not have[/center]
that much in your account.[/center]
[/end]"
291,"Am I to understand that you would like to[/left]
deposit all of your letters of credit?[/end]"
292,"You do not have that much in your account[/center]
I need to have the full amount of the[/center]
letter of credit, plus a one per cent fee.[/center]
[/end]"
293,"We do not sign letters of credit for less[/center]
than one hundred gold pieces.[/center]
[/end]"
294,"That is very gracious of you, but we do[/center]
not accept overpayments. Here is your[/center]
change back. Your loan is now repaid in full.[/center]
[/end]"
295,"I am afraid that we cannot loan that much[/center]
gold to a person of your standing. For you,[/center]
our limit is %ml gold pieces.[/center]
[/end]"
296,"We do not make loans for less than one[/center]
hundred gold pieces.[/center]
[/end]"
297,"I claim bounty for the bank of[/center]
%reg! You have defaulted on your loan and[/center]
must now pay the penalty![/center]
[/end]"
298,"We would gladly purchase your house for the[/center]
generous sum of %a gold[/center]
pieces. All items within the house become[/center]
property of the bank. Are you prepared to sign[/center]
over the house now?[/center]
[/end]"
299,"Your ship is worth %a gold[/center]
pieces to us. Be advised that all items on[/center]
board the ship become property of the bank.[/center]
Do you want to sell your ship now?[/center]
[/end]"
300,"Three primary, three major, and six minor skills[/center]
must be selected before exiting.[/center]
[/end]"
301,"Name your character class before exiting.[/center]
[/end]"
302,"Attribute arrow must equal zero before exiting.[/center]
[/end]"
303,"Reputation balance must equal zero before exiting.[/center]
[/end]"
304,"You cannot select any more advantages.[/center]
[/end]"
305,"You cannot select any more disadvantages.[/center]
[/end]"
306,"The difficulty of advancing dagger cannot be[/center]
in the red. Select more advantages to move it[/center]
up, or more disadvantages to move it down.[/center]
[/end]"
307,"Player reflexes determine the overall speed[/center]
of the game. If you pick VERY HIGH reflexes,[/center]
the monsters will move and attack quickly,[/center]
forcing you to be quick with the controls.[/center]
VERY LOW reflexes means the monsters will[/center]
move and attack slowly, allowing you to adopt[/center]
a more cautious, thoughtful play style. Your[/center]
character will advance a little slower with[/center]
a lower reflex setting, and will advance a[/center]
little faster with a higher reflex setting.[/center]
[/end]"
349,"You have finished loitering.[/center]
[/end]"
350,You are healed.[/end]
351,You do not need to rest.[/end]
352,Rest how many hours?[/end]
353,You wake up.[/end]
354,There are enemies nearby.[/end]
355,You cannot sleep now.[/end]
360,"We were warned about you %pcn.[/center]
You defaulted on a loan to one of our[/center]
sister banks. This money will be used[/center]
to repay that bad debt.[/center]
[/end]"
361,"This demo allows you access to this guild[/center]
function. Normally you would have to wait[/center]
until you reached a higher rank in the[/center]
guild before being allowed to use it.[/center]
[/end]"
362,"Daedra summoning is not available in[/center]
the demo version of Daggerfall.[/center]
[/end]"
363,"In the full version of Daggerfall, you[/center]
would have just received a skill increase.[/center]
However, in the demo version, your skills[/center]
are not allowed to exceed a score of 40.[/center]
[/end]"
364,"The time limit for the Daggerfall demo has[/center]
expired. You can find Daggerfall at your[/center]
local software store.[/center]
[/end]"
400,"The ChildGard feature prevents[/center]
this quest from running at this time.[/center]
[/end]"
401,"Death is not always eternal. For some[/center]
it is merely a time of waiting. Now is[/center]
your time of waiting. Be patient and[/center]
all will be revealed...[/center]
[/end]"
402,"I am the Spymaster. I know everything that[/center]
happens on the Iliac Bay. Others might give[/center]
you rumors, but my rumors are always true.[/center]
[/end]"
403,"Do you want to reset your character's[/center]
attributes back to their original values?[/center]
[/end]"
454,You do not have enough gold.[/end]
460,"You have not earned a house, %pcn.[/center]
Only the highest ranking members of the[/center]
guild are awarded houses.[/center]
[/end]"
461,"You have already received your armor for[/center]
your current rank. When you achieve[/center]
a higher rank in the order I will[/center]
give another fine piece of armor.[/center]
[/end]"
462,"I have an excellent property for you[/center]
%pcn! Let me mark it on your map.[/center]
[/end]"
463,"I have a fine piece of armor for you.[/center]
[/end]"
465,"I see your magicka is low. You sorcerers[/center]
really need to be more careful.[/center]
Here, let me recharge you.[/center]
[/record]
It is customary for the guild to recharge[/center]
the magicka of sorcerers.[/center]
[/record]
Hmmm. This will not do. We can't have[/center]
guild sorcerers running around with low[/center]
magicka. I'll just recharge you.[/center]
[/end]"
475,Castle Daggerfall.[/end]
476,Castle Wayrest.[/end]
477,Castle Sentinel.[/end]
480,"There are to be no summonings this day.[/center]
I would suggest you do a little personal[/center]
research and to find a day when we perform[/center]
summonings.[/center]
[/record]
We're not summoning this day. It might be[/center]
a worthwhile use of your time to check in[/center]
the library at the guild. There are a number[/center]
of books about Daedra summonings, including[/center]
the dates appropriate for summoning.[/center]
[/end]"
481,"Today is %dat, the day of summoning[/center]
for %dae. Do you, %pcn, wish[/center]
to risk you life and very soul by summoning[/center]
%dae into our mundane world?[/center]
[/end]"
482,"You have summoned %dae once.[/center]
Only a fool would seek to speak with[/center]
%dae a second time. Go away.[/center]
[/end]"
484,"%dae did not deign to grace our world this[/center]
night. Come back another day if you would speak[/center]
with a Daedra.[/center]
[/end]"
499,"The scrap of parchment shows the location of[/center]
%map. You record it on your map.[/center]
[/record]
A finely drawn vellum reveals the secret[/center]
location of %map, which you record.[/center]
[/record]
A freshly drawn map indicates the long lost[/center]
location of %map, which you copy down.[/center]
[/end]"
500,"Broken potsherds crunch underfoot.[/record]
You notice a rank odor.[/record]
You hear a distant, unearthly moan.[/end]"
501,"You notice orc tracks.[/record]
Orc tracks cover the ground.[/record]
Was that an Orcish sigil?[/end]"
502,"This area looks inhabited.[/record]
You cross a well-trod path.[/record]
Horses passed this way recently.[/end]"
503,"You trip over a broken manacle.[/record]
Is that smoke in the distance?[/record]
A bell tolls in the distance.[/end]"
504,"Blocks of marble lie nearby.[/record]
You pass a toppled column.[/record]
A shattered statue rests here.[/end]"
505,"Piles of dirt are everywhere.[/record]
Deep ruts score the ground here.[/record]
You detour around a gaping pit.[/end]"
506,"A stream gurgles nearby.[/record]
The air seems cooler here.[/record]
That almost looked like a path.[/end]"
507,"A rune is scratched in the dirt.[/record]
You feel a vague sense of unease.[/record]
You see movement in the underbrush.[/end]"
508,"A strange silence envelops you.[/record]
A flock of ravens passes overhead.[/record]
Dry bones are littered everywhere.[/end]"
509,"You notice an acrid odor.[/record]
Your eyes suddenly sting.[/record]
The ground here vibrates faintly.[/end]"
510,"Harpy droppings foul the ground.[/record]
The scent of carrion hangs in the air.[/record]
Large feathers lie scattered about.[/end]"
511,"You pass a low stone wall.[/record]
Paving stones ring underfoot.[/record]
Vines cover piles of rubble.[/end]"
512,"You brush aside huge cobwebs.[/record]
Spider webs hang from the trees.[/record]
Hmm. No mosquitos.[/end]"
513,"Huge footprints cross your path.[/record]
Smoke rises in the distance.[/record]
Gnawed bones litter the ground.[/end]"
514,"Scorched bones are everywhere.[/record]
The trees here are charred by fire.[/record]
The air seems warmer here.[/end]"
515,"You smell woodsmoke.[/record]
Someone's been this way recently.[/record]
A horse neighs in the distance.[/end]"
516,"Stone outcroppings dot the area.[/record]
You pass several lava boulders.[/record]
Everything here is covered with ash.[/end]"
517,"Something's been digging in the sand.[/record]
Those look like scorpion tracks.[/record]
What's that rustling sound?[/end]"
518,"You smell fresh turned earth.[/record]
A low, ghostly moan shivers by.[/record]
A crow caws in the distance.[/end]"
520,"A ghostly wail shatters the silence.[/record]
You stumble over a fallen headstone.[/record]
An open grave yawns in your path.[/end]"
521,"You smell orcs.  Definitely orcs.[/record]
Orcs have trampled the ground here.[/record]
A harsh yell brings you up short.[/end]"
522,"Someone's cleared the underbrush here.[/record]
You pass a stack of firewood.[/record]
A bird calls nearby.[/end]"
523,"A bell tolls nearby.[/record]
A rotting corpse hangs from a tree.[/record]
A despairing cry rings out.[/end]"
524,"You pass a row of fallen columns.[/record]
Vines cover jumbled stones here.[/record]
A headless statue lies in the dust.[/end]"
525,"You clamber over piles of gravel.[/record]
A deep pit almost blocks your path.[/record]
You pass a heap of rusting shovels.[/end]"
526,"A dank breeze ruffles your hair.[/record]
A spring bubbles from the ground.[/record]
That looks like a path.[/end]"
527,"Blood soaks the earth here.[/record]
You feel you are being watched.[/record]
You pass a trampled circle in the dirt.[/end]"
528,"A huge bat flaps slowly overhead.[/record]
A wolf howls, not far away.[/record]
The air is still and oppressive.[/end]"
529,"The ground vibrates underfoot.[/record]
A green haze makes your eyes burn.[/record]
You notice a strong acrid odor.[/end]"
530,"You step over a half-eaten carcass.[/record]
Harpy feathers are everywhere.[/record]
You almost gag on a foul stench.[/end]"
531,"A loose paving stone nearly trips you.[/record]
Your path is flanked by toppled masonry.[/record]
You pass overgrown fields.[/end]"
532,"Even the insects have fallen silent.[/record]
You push through a huge spider web.[/record]
Large spiders scuttle from your path.[/end]"
533,"Footprints are everywhere. BIG footprints.[/record]
You pass several uprooted trees.[/record]
A huge bonfire smolders nearby.[/end]"
534,"The ground is blackened by fire.[/record]
It is definitely getting warmer.[/record]
You pass a charred skeleton.[/end]"
535,"You pass a smoldering campfire.[/record]
A sign warns, ""Trespassers Beware"".[/record]
An owl hoots softly nearby.[/end]"
536,"Steam rises from cracks in the earth.[/record]
A hot spring bubbles nearby.[/record]
A path winds off among the boulders.[/end]"
537,"You pass a shallow sandy pit.[/record]
Scorpion tracks crisscross the area.[/record]
A loud rustling startles you.[/end]"
538,"You smell freshly buried dead.[/record]
Wagon ruts lead off a ways.[/record]
White flowers litter the path.[/end]"
550,"The Thieves Guild bribes the judge,[/center]
and you are found not guilty.[/center]
[/end]"
551,"The Dark Brotherhood bribes the judge,[/center]
and you are found not guilty.[/center]
[/end]"
600,"Well, I had work, but I hired[/center]
the Fighters Guild to do it.[/record]
That lousy...someone has been[/center]
spreading rumors that I need help.[/center]
I don't need any help in anything.[/record]
You're too late. I gave the job[/center]
to some spellsword.[/center]
[/record]
Yah, I had work. But the situation[/center]
has resolved itself. Thanks anyway.[/center]
[/end]"
606,"Yes, you are worthy to join the Mages Guild.[/center]
As an apprentice, you can use the spellmaker,[/center]
and get training in any of the guild skills.[/center]
Later, you will become eligible use the library,[/center]
buy magical items, and even make your own.[/center]
Are you interested in joining?[/center]
[/end]"
611,"I am sad to say that you are ineligible[/center]
to join the guild.[/center]
[/center]
We can only accept members with a certain extant[/center]
skill in at least one of the magical sciences.[/center]
[/record]
I am sad to say that you are ineligible[/center]
to join the guild.[/center]
[/center]
We do not take neophyte magicians. Only scholars[/center]
who have devoted themselves to at least one of[/center]
the magical sciences are permitted.[/center]
[/record]
I am sad to say that you are ineligible[/center]
to join the guild.[/center]
[/center]
Perhaps if you were to devote some time and effort[/center]
into bettering yourself in at least one of the[/center]
six magical sciences, we may reconsider.[/center]
[/end]"
