Key,Value
81161870,Mesascuza
82210490,Ceriburea
83259071,Baghissibu
84307700,B'ird Palace
85356287,The Friary of Geriblither
86405622,The Relder Cemetery
87454323,Baerpe Manor
88502910,Sacred Seer of Stendarr
89551540,Fhirht'kern Tower
90600914,Mhustun Hall
91649523,Ruins of The Maeshke Farmstead
92698270,Bleeding Sunrise of Stendarr
93747600,Ruins of The Barpen Farmstead
94796189,Ruins of Racher Manor
95844799,The Birker Graveyard
96893512,The Lhojin Cemetery
97942118,Sashthrac
98991510,Ruins of The Tosom Plantation
100040090,Coven in the Marsh
101088668,The Web of Trogdred
102137467,Naraharet
103186065,Ruins of B'ijur Hall
104235398,Gentle Star of Stendarr
105283981,The Kildir Cemetery
106332587,Ruins of Maarp Tower
107381381,Sairer Court
108429959,Castle Vorg
109479287,Ruins of The Vluctten Farmstead
110527893,The Sahuagex Cave
111576593,M'arg Manor
112625185,Mogindai
113673773,The Stuvam Graveyard
114723151,Castle Kog'kern
115771856,Nardir Hall
116820498,Old Ghartsa's Hovel
117869111,Charken Manor
118917700,Castle Shurgrn
119966282,Wadijehnu
121015569,Anthor's Web
122064188,Burning Sunrise of Stendarr
123112886,Ramehtor
124161500,The Hold of Slachke
125210098,Javenia
126258734,The Fox and Barbarian Tavern
127307321,The Unfortunate Castle Lodge
128356798,The Queen's Fawn Inn
129405455,Thorm'kern Manor
130454792,Rlirm Manor
131503383,Ruins of The Tower of Rlortrn
132551983,The Nhurche Tunnel
133600681,The Cyujer Farmstead
134649286,The T'irman Cabin
135698635,Bleeding Idol of Stendarr
136747259,The Lion and Priest Hostel
137796000,Daghoth
138844664,The Mhafylar Cemetery
139894101,The Tomb of Invereham
140942714,Ruins of Lhigin Hall
141992095,THe Crypts of B'ugten
143040735,Ruins of Castle Kist
144089467,The Mole and Griffin Pub
145138118,The Cairn of Vladobion
146187374,Djen Lodge
147236000,Faugta's Guard
148284604,Perpetual Sunrise of Stendarr
149333306,The Fortress of Therdke
150381889,Ruins of Tower Baerhton
151432271,Ceranda-Kom
152480861,The Baalateusessa Cavern
153529477,The Slugir Cemetery
154578056,The Red Giant Tavern
155627572,Ruins of Rlictt Court
156676394,The Thirsty Castle Inn
157725708,Ruins of Fherkin's Guard
158774290,The Dead Djinn Lodge
159822972,Ruins of The D'uctem Farmstead
160871558,Wailing Omen of Stendarr
161920136,The Devil's Ogre Pub
162968729,Ruins of The F'ormte Cabin
164018199,The Baeght Cemetery
165067009,Naroza
166116413,Ruins of The Old Caarme Hovel
167165096,Ruins of Slarkon Grange
168214503,Jode Shrine
169263116,Wailing Altar of Stendarr
170311731,Inner Sunrise of Stendarr
171360386,Shelter of Phen
172409839,Burning Redeemer of Stendarr
173458441,Alik'ra
174507143,Ruins of Old Grefylta's Farm
175556631,Old Maurc-i's Hovel
176605288,Anteleralah
177654661,Demiblothessa Minster
178703270,The Lynx and Goblin Hostel
179752024,Ramoaweyn
180802482,The Old Chirkon Place
181851069,Ruins of Vuster Grange
182899749,Castle Khojon
183949105,The F'arkte Farmstead
184997721,The Dirty Porcupine Pub
186046301,The Web of Gromgod
187094929,Zagoccodisu
188143528,Ruins of The Chesun Cabin
189193190,Syrogubu
190242556,The Tomb of Barovar
191291157,The Old Nhuv Shack
192339864,Maurp Manor
193388504,The Old Guch Hovel
194437841,The Old Mhosta Shack
195486481,The Web of Anker
196536104,Old M'ormta's Farm
197584745,Wailing Rebirth of Stendarr
198633375,Sacred Soul of Stendarr
199682739,Cheshon Hall
200732271,The Unfortunate Priest Pub
201780964,Mettula
202829551,Mi-Korom
203879193,Glork's Hold
204928583,Old Cughtca's Hovel
205977264,The Dwarf and Guard Tavern
207025856,Ruins of Therhtta Court
208074444,Faofylar's Guard
209123897,Eternal Redeemer of Stendarr
210173448,Shrine of Ephen
211222058,The Den of Shesh'kern
212270681,Old Fhordja's Farm
213319309,Ruins of The Thelprn Plantation
214368756,Dhortar Tower
215417370,The C'eldur Cemetery
216466044,T'orgen Palace
217514723,The Citadel of Cyorpen
218564063,Kellan Hall
219612654,Shrestta Tower
220661236,Fearful Oracle of Stendarr
221709922,The F'isun Plantation
222759570,Ruins of Saughtur Orchard
223808184,Blarmir Grange
224856764,Jalakaplex
225906201,Ruins of The Hold of Shag
226954808,The Old Nafylam Shack
228004335,Perpetual Soul of Stendarr
229053016,The Gripbith Web
230101594,Mesopada
231152074,Togem Manor
232200795,Ruins of C'orc Court
233250323,Ruins of Baerd'kern Manor
234299737,Blessed Soul of Stendarr
235348344,Blith Hall
236397881,The Old Dhergrn Hovel
237446494,Lheth Hall
238495080,The Mouse and Goat Hostel
239543676,The Stronghold of Merdun
240592287,The Crypt of Nebuchanon
241641772,Khath Grange
242690359,Ruins of The Old Murchke Place
243738940,Ruins of Dherht Hall
244787524,The Quarry of Faeghtir
245836138,Narelidai
246884751,Ruins of Old Tistka's Shack
247933417,The Rat and Scorpion Hostel
248982810,Gentle Redeemer of Stendarr
250031467,The Old Glull'kern Hovel
251080048,Caorpt Hall
252128714,Tsetissiara
253178103,Shrine of Q'Olwen
254227629,Yagertor's Nest
255276232,Hillia
256324812,The Balulither Rectory
257373454,Shrine of Jone
258423937,Bleeding Soul of Stendarr
259472602,Singing Light of Stendarr
260522155,Sturner Hall
261570737,Raminzar
262619463,Tlafylun Palace
263668060,Sacred Idol of Stendarr
264717445,The Den of Rharmer
265766076,The Dirty Huntsman Pub
266814675,Rharg Hall
267863330,The Fortress of Nhorchen
268911915,Ruins of Boster Manor
269961337,Agogurana
271011060,Vellen's Hold
272059640,Blermom Manor
273109087,Joyous Omen of Stendarr
274158713,The Old Stachum Shack
275207373,Holy Omen of Stendarr
276256713,Bi-Korom
277305359,Ruins of Bluchin Court
278353957,The Troglobith Web
279402560,The Dancing Skull Lodge
280451157,Ruins of The Old Curpun Place
281500599,The Masoleum of Nebuchingus
282549244,Ruins of The Lhechin Farmstead
283597859,Osajdai
284646505,Holy Ascencion of Stendarr
285695991,Djen Lodge
286744615,Fearful Redeemer of Stendarr
287793210,Syruria
288841797,Ruins of Tower Grughtir
289891195,Ruins of Raovon Grange
290939827,Glifylim Hall
291988418,The Larm Crypts
293037082,Kog'kern Hall
294085697,Ruins of The Old Nerchem Hovel
295135097,The Krorchem Graveyard
296183718,The Lhern Farmstead
297233252,Ruins of The Slelpke Farmstead
298281971,The Barrow of Barimar
299330569,The Sepulcher of Stadulam
300379149,Shastar's Guard
301427780,The Fortress of Nusan
302477180,Inner Altar of Stendarr
303525778,Maeldem Grange
304574455,The Lall Lode
305623831,The Howling Giant Lodge
306672563,The Stronghold of Dhortum
307721988,Weeping Sunrise of Stendarr
308770593,Castle Nezon
309819214,The Old Vosten Shack
310867837,Ruins of The Citadel of T'ig
311916424,Ruins of The Vloghten Farmstead
312965044,Shrine of Dugrod
314014480,The Crimson Dragon Inn
315063105,The Rat and Castle Lodge
316111685,Blessed Omen of Stendarr
317160266,Reliquary of Raen
318208914,Gysumbakat
319257524,Old Mausga's Shack
320306128,Ruins of Old Rhoghti's Farm
321355517,Naremida
322404132,Krovt's Hold
323452780,Krofylim Manor
324501422,The Cairn of Necromulam
325550786,Gentle Omen of Stendarr
326599516,Ruins of The Flelp Farmstead
327648095,The Red Pit Lodge
328696679,Old C'ichka's Place
329745279,Infinite Sunrise of Stendarr
330793882,Ruins of Old Gheldsa's Hovel
331843236,The Old Slarn Shack
332892809,V'ej Hall
333941395,The Lair of Vermgod
334989983,Lhugin Orchard
336038589,The Dwarf and Stag Inn
337087215,The Tower of Churhten
338135797,Pheono-Thar
339184390,Ruins of Castle Berk
340233021,Isfunnusa
341281613,The Fuctur Graveyard
342331000,The Savage Guard Tavern
343379608,Sacred Redeemer of Stendarr
344428193,The Old M'arken Place
345476776,Ruins of The Old T'oldin Place
346525472,The Fortress of Sught
347574925,Anteliiga
348623583,The Old T'arun Hovel
349672193,The Green Scorpion Lodge
350721642,Fearful Sunrise of Stendarr
351770233,The Tower of Saaz
352818852,The Khallrn Cemetery
353867436,Singing Tree of Stendarr
354916022,Zenibunis
355964708,Tlirt Manor
357014063,Bej's Hold
358062759,B'ivta Grange
359111377,The Abbey of Asmiameusessa
360159968,The Queen's Skull Pub
280614,Corranoth's Tomb
1330211,Joyous Altar of Arkay
2379774,Devilrock Coven
3429338,The Unfortunate Goblin Tavern
4479901,Madla
5528488,The Old Lhez Shack
6578066,The Slojin Crypts
7626665,D'ermon Manor
8675250,Old Bazsa's Farm
9724788,The Laughing Muskrat Inn
10774406,Blessed Omen of Arkay
11823947,Ruins of The Gig Plantation
12873513,Dhughtam Hall
13922119,The Flurt-si Coven
14971661,The Silver Chasm Pub
16021288,The Mines of Klostir
17070814,The Lhild Plantation
18120387,Grardum Manor
19169012,Silent Idol of Arkay
20220570,Old Krollga's Place
21269149,The Kornten Graveyard
22318700,Silent Oracle of Arkay
23367291,The Pig and Dagger Hostel
24416873,Bubilliga
25465475,The Old Cyeghtom Shack
26514055,The Beaver and Dungeon Tavern
27563571,Gentle Star of Arkay
28613157,Syrillitor
29661742,Old Starnca's Shack
30711352,The Lion and Giant Tavern
31761888,Moweyn
32810498,The Livrn Farmstead
33860020,The Dancing Muskrat Inn
34908636,The Unfortunate Stag Pub
35957224,The Old Flirhtam Shack
37006757,The Gold Goblin Pub
38055401,Divad Monument
39104906,The Mole and Griffin Tavern
40153505,The Red Djinn Pub
41202086,Atrandarea
42250688,Gheghte Court
43300230,Ruins of Old Nhornki's Shack
44349839,The Gold Huntsman Tavern
45398435,The Black Castle Hostel
46447951,Burning Prophet of Arkay
47496543,Eternal Idol of Arkay
48546121,The Nethom Cabin
49594710,The Restless Dagger Lodge
50644300,The Demodoth Cave
51693862,The V'est Farmstead
52743394,The Stafylin Cemetery
53791978,Ruins of Saolpom's Hold
54840572,Old Saullca's Hovel
55890138,Bubogureg
56939726,Jaluh-Thar
57988316,Castle Nhircte
59037842,Old Fhorni's Place
60087432,The Quarry of Khegem
61136024,Inverivaus's Barrow
62184614,The Old Cherk Hovel
63233210,The Old Vernin Hovel
64281800,The Quarry of Caallam
65331301,The Larten Plantation
66379920,The M'ell Graveyard
67428498,Bleeding Sunrise of Arkay
68478031,The Flurgrn Plantation
69526636,Shelter of Phen
70575230,The Toad and Guard Lodge
71624781,Fearful Altar of Arkay
72673360,Pythandarea
73721998,Holy Omen of Arkay
74771525,The House of Barimar
75820115,The Ras Mines
76868705,The Quarry of Tarur
77917283,The Dead Giant Lodge
78966863,The C'olpten Farmstead
80015445,Ruins of Castle Kluct
81064986,The Masoleum of Lithivarulon
82114541,Old Cyagti's Farm
83163142,The Graves of Voshen
84211725,The Stronghold of Cyus
85261281,The Lynx and Scorpion Inn
86309862,Kruct Hall
87358449,Dhugta Manor
88409061,Old Nornga's Farm
89458556,The Dwarf and Goblin Hostel
90507160,The Lion and Mug Inn
91556742,Ruins of Vormke Tower
92605339,The Laughing Stag Pub
93654858,Berht Manor
94704453,The Lucky Dagger Inn
95753093,Gysila-Korom
96802664,Old Flurm-si's Shack
97852176,The Thirsty Bird Tavern
98900755,The Screaming Goblin Lodge
99949360,The Green Porcupine Tavern
100997944,The Chishan Farmstead
102046546,The Unfortunate Huntsman Inn
103095127,Rlirn Palace
104144622,Ruins of Fovta Manor
105193222,Weeping Omen of Arkay
106241831,Ramyryzar
107290433,The Sashirdon Nest
108339922,Vaghtam Palace
109388506,Dhart Manor
110437084,Atretturana
111485666,Ruins of Fectan Court
112534275,Castle Flarcke
113583869,Gentle Light of Arkay
114632454,The Sekithoth Aerie
115681966,The Black Helm Hostel
116730577,The Flying Gnome Inn
117779168,The Klurper Farmstead
118827763,The Old Dhich'kern Place
119878318,The Mines of Mhulpen
120927858,Fhaz Orchard
121976502,The Dispuliva Grotto
123026027,Sashirrugoth
124074624,Infinite Redeemer of Arkay
125123236,The Quarry of Fhuzur
126172736,C'urken Manor
127221323,Sacred Altar of Arkay
128269915,The Bat and Dragon Lodge
129318524,The Fox and Barbarian Lodge
130368048,The Vlorte Tunnel
131416636,The Bluct Graveyard
132465238,Ruins of Flillon Court
133513843,THe Crypts of Rlertim
134563343,The Saistta Lode
135611974,Perpetual Seer of Arkay
136660578,Castle Larker
137710091,The Old Charm Hovel
138758725,The Laughing Djinn Tavern
139807303,Joyous Relic of Arkay
140856833,The Fox and Ogre Tavern
141905448,The Mole and Gnome Tavern
142954036,The Gold Hedgehog Inn
144003528,Tower Fhormt
145052109,Old Grochta's Place
146100692,Castle Lhov
147149284,Vojten Hall
148197873,Cerehzar
149247395,Ruins of Old Ghurtti's Farm
150295979,The Silver Skull Inn
151345575,The Savage Wolf Pub
152394215,The Green Goblin Pub
153443738,The Lujir Quarry
154492334,The Bat and Djinn Pub
155542890,Infinite Omen of Arkay
156591521,Old Stort-si's Farm
157641013,Gloste Grange
158689599,Ruins of V'esh Manor
159738185,Berbibusa
160786781,The Grurmun Excavation
161836332,The Savage Muskrat Tavern
162884980,The Old Rhiste Hovel
163933562,Castle Chuctom
164983033,The Nhulpun Farmstead
166031626,Tasillia
167080208,The White Bird Inn
168128795,Ruins of The Shrog Plantation
169177410,Ruins of The Hold of B'ilpten
170226015,Peliisa
171275589,Chucton Palace
172324176,The Tomb of Baromius
173372759,The Dhurim Farmstead
174422256,Gromegon
175470868,The Old Sirg'kern Shack
176519461,Perpetual Light of Arkay
177568970,Nithe Manor
178617558,Ruins of The Old Girhton Hovel
179667145,Ruins of Old Khillba's Hovel
180715735,Vlerd'kern Orchard
181764321,The Verhtin Graveyard
182812943,Lellte Manor
183862425,Mesettuara
184911071,Shrine of Ephen
185960624,The Lair of Disporgoniva
187009243,Doj Manor
188058712,Reliquary of Sai
189107315,The Rishke Cemetery
190155935,M'izt Court
191204528,The B'ug Excavation
192253106,Choldam's Guard
193301694,Vofyler Grange
194350278,Tulaakasia
195398863,The Khernten Farmstead
196448324,The Tombs of Vager
197496981,Tower T'all
198546494,Agibunu
199595078,Agotudata
200643689,The Baurhtin Plantation
201692294,The Rusty Hedgehog Tavern
202740872,The D'othar Graveyard
203789460,Weeping Sunrise of Arkay
204838962,The Flill Ruins
205887566,The Lathja Cabal
206936158,Blessed Martyr of Arkay
207985722,Sage Monument
209034323,Silent Light of Arkay
210082903,The Cich Plantation
211132497,The Glach'kern Farmstead
212182056,The Knave and Griffin Hostel
213230643,Burning Rebirth of Arkay
214279228,Eternal Oracle of Arkay
215328727,Pheonewan
216377313,Tloctar Court
217425940,Blessed Light of Arkay
218474536,Pheoniritor
219524037,The Tombs of V'othe
220572643,Umbasta-Ij
221622164,The Old Klillta Hovel
222670759,The Old Dhirpam Hovel
223719376,Old Largca's Place
224767955,Old Flasi's Place
225816546,The Devil's Wolf Tavern
226866112,Infinite Soul of Arkay
227914703,Stafylan Orchard
228963299,Maustta Court
230012756,Syriidisu
231061403,The Old Glorch Hovel
232110005,Ruins of The Circh Farmstead
233159493,Ruins of Kruste Palace
234208431,D'irnke Manor
235257680,The Old Merkten Shack
236306258,Shrine of Vigryl
237354891,Tsetoaret
238403731,The Old Nactan Place
239452315,The Old Ghergem Place
240501518,Infinite Prophet of Arkay
241550101,Old Shuldki's Hovel
242598679,Cuvom Palace
243647389,Gentle Martyr of Arkay
244696885,Terdan's Guard
245745485,The Hole of Sahiamotha
246794067,The Quarry of Khazar
247842663,The Kherdke Graveyard
248891243,The Dancing Scorpion Pub
249939839,Ruins of T'elpun Hall
250988472,Old Krurdka's Place
252037912,Zaguo
253086525,The Dancing Castle Inn
254135105,The Unfortunate Castle Hostel
255183685,Mesajer
256232310,Old Tlij-e's Shack
257280915,The Crimson Goblin Pub
258329527,The Vlollar Farmstead
259378994,The Old C'estam Place
260427633,Ruins of Old Maolli's Place
261476410,Jhim Sei Shrine
262525663,Pythyryret
263574243,The Pig and Jug Tavern
264622863,The V'ogom Excavation
265671534,The Hold of Stev
266720140,The Demogas Grotto
267769537,The Black Mug Inn
268818143,The Doct Farmstead
269866770,Ruins of Castle Khugta
270915592,Shroctir Orchard
271964817,The Beaver and Hedgehog Pub
273013426,Nhorom Hall
274062031,Wadijajet
275110643,Gentle Tree of Arkay
276159236,Papuza
277207872,The Rlorin Lode
278256620,The Shrirchen Graveyard
279305835,Agunnuton
280354454,Ruins of Cerk Court
281403107,Boirdt Hall
282451687,The Shirt Plantation
283500290,The Unfortunate Huntsman Pub
284548922,Agerana
285598299,Sacred Light of Arkay
286646981,Rlurpir's Guard
287695809,Old Nhevja's Hovel
288745021,The Thirsty Guard Pub
289793627,Strenner Haven
290842367,Ruins of Caj Hall
291890961,The Klefylke Mines
292939545,The Baalon Hole
293988262,Serht Manor
295037564,The Fox and Goblin Tavern
296086275,The Citadel of Lazir
297134854,The Pig and Dungeon Lodge
298184204,Fearful Oracle of Arkay
299232783,Gentle Redeemer of Arkay
300281370,The Sepulcher of Darkivarulon
301329967,Vujur Grange
302378551,The Dancing Fairy Lodge
303427278,Old Bozi's Shack
304475879,The B'irgon Crypts
305524589,The Jubatonessa Hole
306573896,Pythilaza
307622560,Norlogod's Nest
308672305,Holy Martyr of Arkay
309721565,The Mhastin Crypts
310770162,The Hole of Geranx
311818880,Ruins of The Citadel of Lhojem
312867615,The Old Rargt Shack
313916202,Umbe-Thar
314965464,Agiribi
316014135,The Quarry of Baghten
317062778,Shrarhtke Manor
318111361,M'ardum Grange
319159950,Ruins of The V'argon Plantation
320208530,The C'uver Farmstead
321257128,Ruins of The Garg Cabin
322305813,The Abbey of Balilitherah
323355055,The Thirsty Scorpion Lodge
324403651,Ruins of Castle Faazer
325452413,The Bauldon Plantation
326501073,Faotham Orchard
327550356,The Stronghold of Tlestan
328599030,The Lucky Porcupine Inn
329647642,The Lair of Homunorgon
330696228,The Florpke Graveyard
331744867,The Mouse and Stag Pub
332793464,The Rat and Castle Tavern
333842138,The Toad and Castle Inn
334891455,M'istem Palace
335940137,Berbemijet
336988741,Ruins of Old Khuj-si's Shack
338037341,The Slardim Tunnel
339085990,The Nurt Crypts
340134602,The King's Goat Tavern
341183183,The Fhush Pit
342232477,T'uch'kern's Hold
343281055,Shelter of Phen
344329700,Ruins of The Old Nigum Shack
345378384,Jode Shrine
346426963,Ruins of Rlustir Manor
347475549,The Asmebrorgonessa Cavern
348524169,The Lynx and Porcupine Tavern
349573491,The Toad and Griffin Tavern
350622206,The Queen's Mug Lodge
351670860,The D'efylam Cabin
352719460,The Laughing Helm Pub
353768052,Blessed Relic of Arkay
354817345,Ruins of The Mhufyl Farmstead
355865932,Ruins of Bull Manor
356914570,The Tith Tombs
357963190,The White Castle Lodge
359011820,The Klivom Cemetery
360060417,The Old Grarnem Place
361109009,The C'uze Cabin
362157694,Ruins of Rerkan's Guard
363207017,The Pit of Gerasena
364255625,Maurk Court
365304319,Ruins of The Vleght Farmstead
366352900,The Hole of Jubateus
367401481,The Savage Rascal Pub
368450071,The Dwarf and Cat Lodge
369498677,Old Vlort-i's Place
370548085,Anphang
371596695,Ruins of The Old T'irtin Place
372645282,Sacred Oracle of Arkay
373693874,The V'eshten Mines
374742470,Norloth's Web
375791126,Bleeding Omen of Arkay
376839770,Flighter Grange
377889063,The Old Khorir Shack
378937744,The Saorht Plantation
379986322,The Merten Farmstead
381034968,Ruins of Old Custsa's Farm
382083548,Isfascuara
383132133,The Dead Bird Inn
384180727,The Nhithin Farmstead
385229376,Ghorhtum Hall
386278617,The Devil's Porcupine Tavern
387327293,The Knave and Badger Lodge
388375874,Ruins of Dhorchur Court
389424474,The Beaver and Skull Pub
390473067,The Mouse and Scorpion Pub
391521701,Karmar Manor
392570291,The Shrifylin Lode
393618902,The Old V'erg Shack
394667540,Eloator
395716850,Ruins of Tower Cailp
396765447,Darkeham Hall
397814096,The Thectur Graveyard
398862681,Rhogillirea
399911306,The D'ith Cemetery
400960003,Klarpom Court
402008582,Ramohabu
403057878,The King's Muskrat Inn
404106556,Ruins of Vlesh'kern Court
405155141,The Gravten Cemetery
406203744,The Howling Badger Pub
407252359,The Knave and Cat Hostel
408300943,Sashloker
409349533,The Crimson Cat Hostel
410398134,Sacred Soul of Arkay
411447558,The Howling Giant Pub
412496148,The Mhosh Farmstead
413544730,Baghajweyn
414593314,The Fox and Porcupine Lodge
415641905,Castle Baustrn
416690483,Grumragon
417739082,Tower Thorkte
418787688,Baghad-Thar
419836266,The Screaming Scorpion Inn
420884864,Shrine of Dugrod
421934256,The Devil's Dragon Hostel
422982924,Divad Monument
424031523,Ruins of B'ozrn Grange
425080111,Tishten Grange
426128800,The Mole and Griffin Hostel
427177389,Eternal Altar of Arkay
428226661,Ruins of Vlastan Manor
429275510,Silent Rebirth of Arkay
430324093,The Unfortunate Djinn Pub
431373454,Old Sethba's Shack
432422032,Kieran Theatre
433470632,The Laughing Barbarian Tavern
434519220,The Maildir Farmstead
435567805,The Hold of Rlirchem
436616438,Morehdata
437665023,The Tlethta Farmstead
438713608,The Quarry of Rlifylar
439762242,Blessed Soul of Arkay
440811747,V'eghtten Palace
441860378,Ruins of The Old Sturgta Hovel
442908961,The Lheldar Farmstead
443957573,The Nurpom Pit
445006152,The Sord'kern Tunnel
446054731,The Gathta Farmstead
447103311,Ruins of Nurmam Manor
448152735,The King's Woodchuck Tavern
449201439,The Red Dragon Tavern
450250078,The Hole of Baalucherunah
451299362,Old Rarpi's Place
452347947,The Kargon Farmstead
453396544,The Hold of Shrofylte
454445225,Pheonettuza
455493813,The Old F'urt Place
456542412,Ruins of Raertim Manor
457591005,Ruins of Chirtir Hall
458639591,Perpetual Star of Arkay
459688172,Shrine of Dugrod
460736834,The Nhordar Farmstead
461786129,The M'ivi Cabal
462834814,Shruse Manor
463883463,The Thirsty Dagger Pub
464932068,The Thash Cemetery
465980688,The White Rascal Inn
467029300,Tower Sarnum
468078561,The Bat and Muskrat Lodge
469127163,The Lorchom Cemetery
470175759,The Stose Farmstead
471224419,Sahorgonena Hollow
472273087,Ruins of B'old Hall
473321671,Old Nirmtha's Hovel
474370268,Ruins of Raortir Hall
475418874,The Lynx and Dungeon Hostel
476467490,Jhim Sei Shrine
477516754,Manda-Gora
478565418,The Cavern of Baalulithessa
479614019,Gerne Tower
480662728,The Devil's Woodchuck Inn
481711313,The Sermrn Plantation
482759903,The King's Porcupine Inn
483809207,Eternal Martyr of Arkay
484857805,Tsetumbano
485906497,The Yagtor Aviary
486955075,The Lair of Marebrer
488003661,Ruins of Luldt Manor
489052329,The Lhercir Plantation
490100960,Papakalah
491150241,Blessed Prophet of Arkay
492198841,Elopaan
493247422,The Hole of Demorgon
494296001,The Rusty Muskrat Tavern
495344592,The Shifylam Mines
496393199,Ruins of Mhusun Grange
497441778,THe Crypts of Sish
498490387,The Rhaj Farmstead
499538966,The Flying Giant Tavern
500587544,Fegen Palace
501636224,Bourten Hall
502684832,Ruins of Grirun Court
503733446,Bubobia
504782726,Ruins of Old B'aldja's Farm
505831379,Fearful Star of Arkay
506879971,Kieran Theatre
507928598,Vlucton Orchard
508977225,The Rlagt Plantation
510025804,Larom Manor
511074405,The F'oght Farmstead
512122992,Blusher Palace
513171575,The Red Rascal Hostel
514220177,The Bat and Dungeon Pub
515268759,Old T'ugca's Farm
516317352,The Rusty Hedgehog Hostel
517366664,Lhortin Grange
518415245,The Florkan Farmstead
519463835,Velodred
520512475,The Dead Dungeon Pub
521561122,Bibudisu
522609701,The Grughtke Cabin
523658404,Hezgaus
524707712,Fhorgar Palace
525756304,The Cairn of Balthimeon
526804889,Ruins of Old Morntha's Farm
527853505,Ruins of The F'uth Farmstead
528902110,Ghildir Court
529950725,The Diver Farmstead
530999355,The Vlirg Farmstead
532047934,The Flying Scorpion Lodge
533096591,The Mhurk Quarry
534145858,The Grirmin Cemetery
535194585,Sedunnutor
536243174,The Pit of Marodas
537291752,Castle T'eze
538340348,Ruins of The Old Khurtam Hovel
539388960,Sederania
540437567,Blessed Sunrise of Arkay
541486151,Ruins of Fhern's Guard
542534751,Glaldin Tower
543583342,The Old Boild Hovel
544632610,Sacred Omen of Arkay
545681192,The Silver Skull Lodge
546729808,The Krilp Excavation
547778446,The M'achon Cemetery
548827033,Jode Shrine
549875618,The Thasher Graveyard
550924196,The Thirsty Rascal Pub
551972809,Rhanibuo
553021396,Bisar's Guard
554070075,The Glerdom Farmstead
555118670,Inner Tree of Arkay
556167259,The Old Thille Hovel
557216594,The Flying Pit Hostel
558265179,Ruins of Festen Grange
559313778,The Rauzt Excavation
560362360,The Vurchta Farmstead
561410967,Ruins of V'uctt Manor
562459550,Appera-Gora
563508149,The Cyoch'kern Quarry
564556749,The Gold Chasm Lodge
565605365,The Laughing Gnome Pub
566653961,Gentle Oracle of Arkay
567702561,The Dead Porcupine Hostel
568751153,Nhuj Orchard
569800487,Ruins of Stort Hall
570849065,Wailing Star of Arkay
571897682,Inner Seer of Arkay
572946261,Skulrarugoth's Web
573994872,The Quarry of Faichim
575043481,Ruins of The Rishin Farmstead
576092130,Kluzon Orchard
577140733,D'othar's Guard
578189329,The Dancing Goblin Lodge
579237935,Saofylam Manor
580287209,The Dancing Pit Inn
581335828,Damonidax
582384447,The Old Slog Shack
583433066,The Mouse and Dog Inn
584481800,The Dancing Gnome Lodge
585531161,Ruins of Rarhtim Manor
586579741,The Old Khict Place
587628343,The Flernt Burial Ground
588676931,Makilliweyn
589725634,Ruins of Gloste Hall
590774260,Caectom Orchard
591822845,Makila-Thar
592872152,Infinite Martyr of Arkay
