- Text database for game settings window.

schema: *key,text
exteriorLightShadows,                               Exterior Light Shadows
exteriorLightShadowsInfo,                           Exterior sunlight casts shadows
retroRenderingMode,                                 Retro Rendering Mode
retroRenderingModeInfo,                             3D world rendered at low resolution while UI remains at set resolution

- Options shared among sliders. Missing keys use default text.

Off,                                                Off
On,                                                 On
HQ,                                                 HQ

Low,                                                Low
Medium,                                             Medium
High,                                               High
Very High,                                          Very High   

Low (25%),                                          Low (25%)
Medium (50%),                                       Medium (50%)
High (75%),                                         High (75%)
V. High(100%),                                      V. High(100%)

Point,                                              Point
Bilinear,                                           Bilinear
Trilinear,                                          Trilinear   

none,                                               none
classic,                                            classic
climate,                                            climate
climateOnly,                                        climateOnly
random,                                             random
randomOnly,                                         randomOnly
minimal,                                            minimal
large,                                              large
colour,                                             colour
monochrome,                                         monochrome
